"ID","STD ABBR","STD NAME","DST ABBR","DST NAME","GMT offset","DST adjustment","DST Start Date rule","Start time","DST End date rule","End time"
"America/St_Johns","NST","Newfoundland Standard Time","NDT","Newfoundland Daylight Time","-03:30:00","+01:00:00","1;0;4","+00:01:00","-1;0;10","+00:01:00"
"America/St_Kitts","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/St_Lucia","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/St_Thomas","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/St_Vincent","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Swift_Current","CST","Central Standard Time","","","-06:00:00","+00:00:00","","","","+00:00:00"
"America/Tegucigalpa","CST","Central Standard Time","","","-06:00:00","+00:00:00","","","","+00:00:00"
"America/Thule","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","2;0;3","","1;0;11","+00:00:00"
"America/Thunder_Bay","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Tijuana","PST","Pacific Standard Time","PDT","Pacific Daylight Time","-08:00:00","+01:00:00","1;0;4","+02:00:00","-1;0;10","+02:00:00"
"America/Toronto","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Tortola","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Vancouver","PST","Pacific Standard Time","PDT","Pacific Daylight Time","-08:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Whitehorse","PST","Pacific Standard Time","PDT","Pacific Daylight Time","-08:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Winnipeg","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+03:00:00"
"America/Yakutat","AKST","Alaska Standard Time","AKDT","Alaska Daylight Time","-09:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Yellowknife","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"Antarctica/Casey","AWST","Australian Western Standard Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Antarctica/Davis","DAVT","Davis Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Antarctica/DumontDUrville","DDUT","Dumont d'Urville Time","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Antarctica/Macquarie","MIST","Macquarie Island Station Time","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Antarctica/Mawson","MAWT","Mawson Time","","","+06:00:00","+00:00:00","","","","+00:00:00"
"Antarctica/McMurdo","NZST","New Zealand Standard Time","NZDT","New Zealand Daylight Time","+12:00:00","+01:00:00","1;0;10","+02:00:00","3;0;3","+03:00:00"
"Antarctica/Palmer","CLT","Chile Standard Time","CLST","Chile Summer Time","-04:00:00","+01:00:00","2;0;10","+00:00:00","2;0;3","+00:00:00"
"Antarctica/Rothera","ROTT","Rothera Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"Antarctica/South_Pole","NZST","New Zealand Standard Time","NZDT","New Zealand Daylight Time","+12:00:00","+01:00:00","1;0;10","+02:00:00","3;0;3","+03:00:00"
"Antarctica/Syowa","SYOT","Syowa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Antarctica/Troll","TROT","Troll Time","","","+02:00:00","+00:00:00","3;0;3","+01:00:00","1;0;10","+03:00:00"
